dataset,dataset_role,public_trajectory_id,original_trajectory_sha256,source_family,trajectory_length,top_10pct_longest_global,top_10pct_longest_within_dataset,pi_density,hn_density,uc_density,has_pi,has_hn,has_uc,pi_step_count,hn_step_count,uc_step_count,pi_projected_step_count,hn_projected_step_count,uc_projected_step_count
Natural500,natural-distribution control,Natural500_T000033,795c867ba0125b702b2b5d8b4563931d2297729c2f7ec17d71acc0b7473b5f12,SWE-agent datasets,11,False,False,0.7272727272727273,0.45454545454545453,0.0,True,True,False,8,1,0,8,5,0
Natural500,natural-distribution control,Natural500_T000034,63ad54e15f17c0670fe76a52891bcf5ed3bcc2c6cfd91201d72115146d647f68,SWE-agent datasets,15,False,False,0.8,0.5333333333333333,0.0,True,True,False,9,2,0,12,8,0
Natural500,natural-distribution control,Natural500_T000035,9f25a4131680d90449c9c8f6a25ff0a1aa2c2076b066ac881d5690fea1c0189f,SWE-agent datasets,13,False,False,0.5384615384615384,0.07692307692307693,0.15384615384615385,True,True,True,7,1,2,7,1,2
Natural500,natural-distribution control,Natural500_T000036,465943517bec156055cfafe0143322aa7e8ea1fecbd27a8bf6f7e8e33b0d40ca,SWE-agent datasets,10,False,False,0.6,0.0,0.0,True,False,False,6,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000037,b5e970654350c518f28f9ce831afdfeb4688ab4083d88698f24a29006540eedf,SWE-agent datasets,10,False,False,0.9,0.0,0.0,True,False,False,9,0,0,9,0,0
Natural500,natural-distribution control,Natural500_T000038,e4e366e1fee168b7010cb12557c70c71841fe9b05cd56d8053b6e5cfc9a09404,SWE-agent datasets,6,False,False,0.0,0.0,0.8333333333333334,False,False,True,0,0,5,0,0,5
Natural500,natural-distribution control,Natural500_T000039,0852ec7e5e31eadc95d77f9a812a520b5551b4e2aa575dcb26a966f42c065014,SWE-agent datasets,11,False,False,0.7272727272727273,0.0,0.0,True,False,False,8,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000040,06907df4b7ea5eacc1eebd4ea5b2c1120e4320641edba235f1ed43215f95f41c,SWE-agent datasets,15,False,False,0.7333333333333333,0.06666666666666667,0.0,True,True,False,11,1,0,11,1,0
Natural500,natural-distribution control,Natural500_T000041,208557a61b5a54745670f964c3b9bf3bd61f29ad558a422365ad215c03d93190,SWE-agent datasets,13,False,False,0.9230769230769231,0.0,0.0,True,False,False,11,0,0,12,0,0
Natural500,natural-distribution control,Natural500_T000042,1840d2e3cf60768be51e9f9522f32408fa7aa1b50fea459cf6ff59d4498c269f,SWE-agent datasets,11,False,False,1.0,1.0,0.0,True,True,False,11,1,0,11,11,0
Natural500,natural-distribution control,Natural500_T000043,84e76cb34293bd3fb16a512a51930b92245219d0069bdd2ee3520fb088abe880,SWE-agent datasets,14,False,False,0.7857142857142857,0.21428571428571427,0.0,True,True,False,11,1,0,11,3,0
Natural500,natural-distribution control,Natural500_T000044,7097dbcd78f8a4b1db2286b8c7eda771bc2cb7726138ac77919f623c03d4b71d,SWE-agent datasets,12,False,False,1.0,0.0,0.0,True,False,False,12,0,0,12,0,0
Natural500,natural-distribution control,Natural500_T000045,71904eed1aebc7b7dbff6983914581f7ca0a60f3a3fbf524717657c3dc9d1fa3,SWE-agent datasets,50,False,True,0.72,0.66,0.4,True,True,True,20,10,15,36,33,20
Natural500,natural-distribution control,Natural500_T000046,6b346c694c77746df33aae44d111b3ce0966a619155fb1ba6a82f62662a81461,SWE-agent datasets,8,False,False,1.0,0.0,0.0,True,False,False,8,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000047,248242c5afe163f201374e18741057e7f6e559d1cfef27d7f67e44af3098fdac,SWE-agent datasets,7,False,False,0.5714285714285714,0.0,0.0,True,False,False,4,0,0,4,0,0
Natural500,natural-distribution control,Natural500_T000048,e0a1b88f87e0893891fe408a663ba48d904ff77b8b8daf3b7d535152564db8fb,SWE-agent datasets,10,False,False,0.6,0.2,0.0,True,True,False,6,1,0,6,2,0
Natural500,natural-distribution control,Natural500_T000049,9d87e40620c3106f4509ae3fa4041fa5211430d5fdd6ba9d1143333c315d7c26,SWE-agent datasets,13,False,False,1.0,0.0,0.0,True,False,False,13,0,0,13,0,0
Natural500,natural-distribution control,Natural500_T000050,327b48cd3318eaeb6d293c3ceea373e388bdfb2c1d80a266c8e5e60fc04cb6a8,SWE-agent datasets,12,False,False,0.75,0.0,0.0,True,False,False,8,0,0,9,0,0
Natural500,natural-distribution control,Natural500_T000051,c48bce85c0cb46717c15f754aa85f48b8d76607958a7a74fd619f853cb00f776,SWE-agent datasets,12,False,False,0.8333333333333334,0.0,0.0,True,False,False,10,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000052,81ffe41c1b5b026b3fd8e75c5d6c16adfab4524c96506dc769a773cbaae5eddf,SWE-agent datasets,8,False,False,0.375,0.0,0.0,True,False,False,3,0,0,3,0,0
Natural500,natural-distribution control,Natural500_T000053,af2dfe21c1355b316b96160c65bef9f0120ef3f7f8fdaeab729c1eb131346246,SWE-agent datasets,11,False,False,0.8181818181818182,0.0,0.0,True,False,False,9,0,0,9,0,0
Natural500,natural-distribution control,Natural500_T000054,04b3e7a6c6cb0d4869f563970c46f682835e9052e20f64f89dbe2dbcde7a20c1,SWE-agent datasets,8,False,False,1.0,0.0,0.0,True,False,False,7,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000055,2987e4afb63a0a03c76c8e45339e745f5a0bb46071ec16125ebbdbc33d2893df,SWE-agent datasets,23,False,False,0.9130434782608695,0.6956521739130435,0.0,True,True,False,19,8,0,21,16,0
Natural500,natural-distribution control,Natural500_T000056,1a907c864c4df0b5fa24ca2e302ef13b4b62c9f816ecb781a101c7c640791bee,SWE-agent datasets,8,False,False,0.5,0.0,0.0,True,False,False,4,0,0,4,0,0
Natural500,natural-distribution control,Natural500_T000057,f7bebdd201dac201b6e0daf4353b045a8371b26140af8b54c1358cf8b017e05a,SWE-agent datasets,14,False,False,1.0,0.0,0.0,True,False,False,14,0,0,14,0,0
Natural500,natural-distribution control,Natural500_T000058,da6fcb556e532325cc65429b913413c2eb698b2fdba0179a5ae7d4c4aa14829d,SWE-agent datasets,9,False,False,0.8888888888888888,0.0,0.0,True,False,False,8,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000059,781a03d03cff5dc5eb67f73b1ddb14b3006997b3c50c17b0d4f1c4a546b22310,SWE-agent datasets,54,False,True,0.037037037037037035,0.0,0.9259259259259259,True,False,True,2,0,49,2,0,50
Natural500,natural-distribution control,Natural500_T000060,a5ff95b8369ec3281561845e4a12b113348037ad37af627dcb1b8825c91662e4,SWE-agent datasets,34,False,True,0.7647058823529411,0.029411764705882353,0.14705882352941177,True,True,True,26,1,4,26,1,5
Natural500,natural-distribution control,Natural500_T000061,7bc550a332d8e2faf13917eb54608a435d34863fa3e4514c19332994406510ec,SWE-agent datasets,10,False,False,0.9,0.4,0.0,True,True,False,9,1,0,9,4,0
Natural500,natural-distribution control,Natural500_T000062,4f7a3dd6eac7e76e2b10155ce611f17710fb4596e82492496e019510fe835b60,SWE-agent datasets,15,False,False,0.8666666666666667,0.0,0.0,True,False,False,13,0,0,13,0,0
Natural500,natural-distribution control,Natural500_T000063,5f01170db1b7b931646d8cd84312a5adf8e77e189651f2aee5c589c5064d78a2,SWE-agent datasets,13,False,False,0.7692307692307693,0.0,0.0,True,False,False,10,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000064,54f1678f09331923aff74710c37aa361ed619bb86ef2df2b158376cb3b17751b,SWE-agent datasets,12,False,False,0.8333333333333334,0.8333333333333334,0.0,True,True,False,10,1,0,10,10,0
Natural500,natural-distribution control,Natural500_T000065,fbc185deabce95b358347d0889e4bed3ead8f9c71567f53ffbb95f0c8a068d75,SWE-agent datasets,19,False,False,0.8421052631578947,0.0,0.0,True,False,False,16,0,0,16,0,0
Natural500,natural-distribution control,Natural500_T000066,d519e19209f101ec1faba40b31d1fd6d54eff96fbd0475d28cdd06b23791c223,SWE-agent datasets,9,False,False,0.8888888888888888,0.0,0.0,True,False,False,7,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000067,cf890ee49deeed2e171aed6b301fe0133ccecc9772129a78a5bf6b5f2b6f7d8c,SWE-agent datasets,9,False,False,0.7777777777777778,0.4444444444444444,0.0,True,True,False,7,1,0,7,4,0
Natural500,natural-distribution control,Natural500_T000068,037396ccd6c9ee7fc50614a273fe33b933a59ee3a4cb676456e51f6218eda123,SWE-agent datasets,14,False,False,0.7142857142857143,0.0,0.0,True,False,False,10,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000069,4174dd801d4089e6cd17e9c65f8205e1e9f542788a34027928fb60df3f313fd7,SWE-agent datasets,13,False,False,0.8461538461538461,0.07692307692307693,0.0,True,True,False,11,1,0,11,1,0
Natural500,natural-distribution control,Natural500_T000070,aa2159a45558bb3f0507d11e100a429fed2aa66530be7e3d24726079339797cd,SWE-agent datasets,17,False,False,0.9411764705882353,0.7647058823529411,0.0,True,True,False,16,2,0,16,13,0
Natural500,natural-distribution control,Natural500_T000071,7fca0cf2438d4acf9c5c9ead70259db4b5ab09be9d929b4dfb25a80ea8bfd672,SWE-agent datasets,114,False,True,0.017543859649122806,0.0,0.9736842105263158,True,False,True,2,0,111,2,0,111
Natural500,natural-distribution control,Natural500_T000072,3b23c9635a3466d8783d702cca35e5cc8c25b7b4a53c3c8c6bd5d85508630730,SWE-agent datasets,8,False,False,1.0,1.0,0.0,True,True,False,8,1,0,8,8,0
Natural500,natural-distribution control,Natural500_T000073,6bf37a80ea6fe42a35b634d9c30c9ded8f29663157fa4130164fe5277609edc0,SWE-agent datasets,8,False,False,0.875,0.0,0.0,True,False,False,7,0,0,7,0,0
Natural500,natural-distribution control,Natural500_T000074,546195c822deee5169ea8087efe673df79c616cbc9ad254d30a3d7f25abc9867,SWE-agent datasets,20,False,False,0.85,0.2,0.0,True,True,False,16,4,0,17,4,0
Natural500,natural-distribution control,Natural500_T000075,8f2d9592fbfe1907c1d6af07cefe9cada16a43930f244c161258014c873e3201,SWE-agent datasets,21,False,False,0.8095238095238095,0.3333333333333333,0.23809523809523808,True,True,True,12,2,5,17,7,5
Natural500,natural-distribution control,Natural500_T000076,d1ffe04d3ea162d428ef640e08eb122cfdd0d0237f71a2da039f6eb8fd434a9e,SWE-agent datasets,13,False,False,1.0,0.0,0.0,True,False,False,13,0,0,13,0,0
Natural500,natural-distribution control,Natural500_T000077,aa28dd3a608edd745bfdfbd05b813294f29be31d597786d71ebd59834e201a23,SWE-agent datasets,10,False,False,1.0,0.0,0.0,True,False,False,10,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000078,952abd278759c4985cb26b3d417aa8631a6a0da995f130bb6362ac52e7f0dea3,SWE-agent datasets,13,False,False,1.0,0.0,0.0,True,False,False,13,0,0,13,0,0
Natural500,natural-distribution control,Natural500_T000079,9ef01e6b8c3f867c4357ff652cc9cc152100d1aca0f0ea4291219b26de18233b,SWE-agent datasets,18,False,False,0.7777777777777778,0.5,0.2222222222222222,True,True,True,14,3,4,14,9,4
Natural500,natural-distribution control,Natural500_T000080,3861e7b17f2a1833418a0ccb7138a41989ccd27b7009aa68da800bc8d62cf385,SWE-agent datasets,10,False,False,1.0,1.0,0.0,True,True,False,10,1,0,10,10,0
Natural500,natural-distribution control,Natural500_T000081,adc4cdf7ae23730a024d55f790b6c88049e7afdf56a1df0bf238b0908113203d,SWE-agent datasets,7,False,False,1.0,0.0,0.0,True,False,False,7,0,0,7,0,0
Natural500,natural-distribution control,Natural500_T000082,b8bc02d41e1c5b99099b82deae96c7255d302c49c9bcd2f54b0a683734baf34e,SWE-agent datasets,20,False,False,0.8,0.0,0.0,True,False,False,16,0,0,16,0,0
Natural500,natural-distribution control,Natural500_T000083,4d64e5eb679bed36fa4748ef0a973eeb08e5803e2eea6d71e0b7a74bbd59172e,SWE-agent datasets,26,False,False,0.7307692307692307,0.15384615384615385,0.0,True,True,False,19,1,0,19,4,0
Natural500,natural-distribution control,Natural500_T000084,1f36118a82f7948333017178a2ee223f7531ed251d3b6ce6902ddc57aa194f19,SWE-agent datasets,8,False,False,1.0,0.0,0.0,True,False,False,8,0,0,8,0,0
Natural500,natural-distribution control,Natural500_T000085,742670fc0f521f1c5ab8aacfd0ed8ceb2b2f5592aae25bdda7b9e4f47bbf8b36,SWE-agent datasets,21,False,False,0.6666666666666666,0.3333333333333333,0.0,True,True,False,14,4,0,14,7,0
Natural500,natural-distribution control,Natural500_T000086,ba2e1600d7a86c4f2030998ff78f03f8f72928e354e6179827be595cb0f40e22,SWE-agent datasets,7,False,False,0.8571428571428571,0.0,0.0,True,False,False,6,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000087,effe31a2070c75d4275135cfa47bc2db123f717bd3537054988cff2bb381783e,SWE-agent datasets,9,False,False,0.6666666666666666,0.0,0.0,True,False,False,6,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000088,45edd1a0280c8856209624e1bf67da1bcfc8b489d60ab38556920c576446fb2b,SWE-agent datasets,14,False,False,0.7857142857142857,0.07142857142857142,0.0,True,True,False,11,1,0,11,1,0
Natural500,natural-distribution control,Natural500_T000089,14d092626ed256734fa002e072ddfdbe67611545808666713c138205b71883a7,SWE-agent datasets,23,False,False,0.8260869565217391,0.8260869565217391,0.8695652173913043,True,True,True,2,2,18,19,19,20
Natural500,natural-distribution control,Natural500_T000090,749cdd818aabd4237b84eb43413540f1922a5334b77073af4b13005361cdc334,SWE-agent datasets,12,False,False,0.5,0.25,0.08333333333333333,True,True,True,6,3,1,6,3,1
Natural500,natural-distribution control,Natural500_T000091,d9cc2e669f2dd2cbbb5603421d58a8bfa6142e8db5860aee22429c90905c6608,SWE-agent datasets,12,False,False,0.5833333333333334,0.0,0.0,True,False,False,6,0,0,7,0,0
Natural500,natural-distribution control,Natural500_T000092,57f9008c16005e1ad9814bbee3aad7a34dddadd5870489b74f4d3d5451c90c2f,SWE-agent datasets,10,False,False,1.0,0.0,0.0,True,False,False,9,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000093,4b836f82331f2edee2771a07c3fb96271456bd4438f8986558e1330583909591,SWE-agent datasets,14,False,False,0.7857142857142857,0.0,0.0,True,False,False,11,0,0,11,0,0
Natural500,natural-distribution control,Natural500_T000094,48190b9c9f27a6a5911a59a8fa50ea225096e6c869b122b11cecbc53beccc57d,SWE-agent datasets,38,False,True,0.34210526315789475,0.2894736842105263,0.5789473684210527,True,True,True,13,2,22,13,11,22
Natural500,natural-distribution control,Natural500_T000095,7dc5853fedc58b5e69d3f8b666c0d5da3ece484a2df70edf08d2fdc674aacef5,SWE-agent datasets,22,False,False,0.8181818181818182,0.0,0.18181818181818182,True,False,True,18,0,4,18,0,4
Natural500,natural-distribution control,Natural500_T000096,f41fd4ea84840157e9df90b89ee1658ad792434598f8f34774d835925f21d658,SWE-agent datasets,13,False,False,0.9230769230769231,0.0,0.0,True,False,False,12,0,0,12,0,0
Natural500,natural-distribution control,Natural500_T000097,b121bf647b4be18ecc5b64f0e0fdcb4de01069171630c93fd015150467258311,SWE-agent datasets,14,False,False,1.0,0.0,0.0,True,False,False,14,0,0,14,0,0
Natural500,natural-distribution control,Natural500_T000098,bc22fd98c06e3cb6ccf1dcd1f065ec4b4680458849549ac58a6272d5cefd267e,SWE-agent datasets,8,False,False,0.875,0.5,0.5,True,True,True,5,2,2,7,4,4
Natural500,natural-distribution control,Natural500_T000099,5bf4216e8ab93e90d926474175cb199c2cccb3b4d07805b4d5263eeaab61f052,SWE-agent datasets,6,False,False,0.8333333333333334,0.0,0.0,True,False,False,5,0,0,5,0,0
Natural500,natural-distribution control,Natural500_T000100,32187b42794af7e2ef1a80e2b0d65ae9a3ddb2d55f1120f0799161cefa4ae62a,SWE-agent datasets,83,False,True,0.21686746987951808,0.0,0.8072289156626506,True,False,True,12,0,62,18,0,67
Natural500,natural-distribution control,Natural500_T000101,665fb51f27fc1679a7ffd745d0bd06a42b0cc9311fe7013149f9c53728557627,SWE-agent datasets,10,False,False,1.0,0.0,0.0,True,False,False,10,0,0,10,0,0
Natural500,natural-distribution control,Natural500_T000102,8719e8566d9d22edb19ac05b4c804e032989a2a9f67528e5286df20272ea1546,SWE-agent datasets,10,False,False,0.6,0.0,0.0,True,False,False,6,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000103,0787c38db3c64c6f7809339c3e0a0fd2e95505e8bf6837e18117b7cbd4684e32,SWE-agent datasets,7,False,False,0.8571428571428571,0.0,0.0,True,False,False,6,0,0,6,0,0
Natural500,natural-distribution control,Natural500_T000104,300f1b8c1b165120579569732c7ee25693fa47650a2e2a1a25d045c55fe098ab,SWE-agent datasets,8,False,False,0.625,0.0,0.0,True,False,False,5,0,0,5,0,0
