dataset,detector,threshold/config,metric,point,ci_low,ci_high,resamples,bootstrap_unit
Enriched500,exact_action_repeat_k,k=4,F1,0.18604941352632892,0.12777299592686475,0.25362315295873417,1000,trajectory
Enriched500,exact_action_repeat_k,k=4,UC_recall,0.07432432432432433,0.047876886937443776,0.10672742935017636,1000,trajectory
Enriched500,exact_action_repeat_k,k=4,PIIR,0.012607449856733524,0.007217828830588315,0.018626580866673945,1000,trajectory
Enriched500,exact_action_repeat_k,k=4,HN_FPR,0.0014040718082439074,0.00038470605437128066,0.002671314071671672,1000,trajectory
Enriched500,exact_action_repeat_k,k=4,burden,0.057661259321903593,0.03805777823025347,0.0809876856731732,1000,trajectory
Enriched500,exact_action_repeat_k,k=4,latency_mean,6.532467532467533,4.3246078431372545,9.797544283413849,1000,trajectory
Enriched500,action_observation_repeat_exact,exact_pair_k=2,F1,0.19782124288190145,0.1397732352876001,0.25797905448127795,1000,trajectory
Enriched500,action_observation_repeat_exact,exact_pair_k=2,UC_recall,0.12065637065637065,0.0945743584790238,0.1506175011879306,1000,trajectory
Enriched500,action_observation_repeat_exact,exact_pair_k=2,PIIR,0.04011461318051576,0.030465495105119565,0.050941659436697206,1000,trajectory
Enriched500,action_observation_repeat_exact,exact_pair_k=2,HN_FPR,0.007220940728111524,0.004260201721344989,0.010864578110357126,1000,trajectory
Enriched500,action_observation_repeat_exact,exact_pair_k=2,burden,0.06258168678403936,0.04260666782681258,0.0842428205988999,1000,trajectory
Enriched500,action_observation_repeat_exact,exact_pair_k=2,latency_mean,3.296,2.4253320263091322,4.333613445378151,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.9,F1,0.37012384745485294,0.31431666554123827,0.4264173042082227,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.9,UC_recall,0.44594594594594594,0.3903728176527643,0.5062954052398759,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.9,PIIR,0.22177650429799428,0.19851002670637172,0.24324597719106392,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.9,HN_FPR,0.05596229064286431,0.04138323717792389,0.07677988155503807,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.9,burden,0.1461136311217037,0.12051767963634942,0.174418552312247,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.9,latency_mean,2.883116883116883,2.3765032975559293,3.498866781856952,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.95,F1,0.3172067549064354,0.2576690966907141,0.37578428927661917,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.95,UC_recall,0.34266409266409265,0.2849984365228268,0.3975481831697092,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.95,PIIR,0.1512893982808023,0.13148427413107472,0.17286949280502356,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.95,HN_FPR,0.029485507973122053,0.023474271594742725,0.03630694360772401,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.95,burden,0.11532251864380719,0.09161601003530631,0.14037555007299532,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.95,latency_mean,3.3577464788732394,2.611347225788909,4.290865934568748,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.98,F1,0.27461384270722794,0.21122527953236614,0.33787941541902955,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.98,UC_recall,0.24613899613899615,0.19574593116504088,0.30138910727129786,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.98,PIIR,0.08825214899713467,0.07215680175376228,0.103886585756629,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.98,HN_FPR,0.015845953264466955,0.01148184761193184,0.02035897747146385,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.98,burden,0.09356500345967556,0.06871992934903808,0.11871757498877464,1000,trajectory
Enriched500,action_observation_similarity,tfidf_adjacent>=0.98,latency_mean,3.8,2.7534564226925338,5.17993229893073,1000,trajectory
Enriched500,error_signature_repeat_k,k=2,F1,0.1443089430894309,0.09153388897815641,0.20944154798750658,1000,trajectory
Enriched500,error_signature_repeat_k,k=2,UC_recall,0.1438223938223938,0.11088750499404594,0.17983478905735004,1000,trajectory
Enriched500,error_signature_repeat_k,k=2,PIIR,0.07335243553008595,0.05971167791529199,0.08791963120611446,1000,trajectory
Enriched500,error_signature_repeat_k,k=2,HN_FPR,0.024069802427038413,0.00904172039852221,0.05399093046050447,1000,trajectory
Enriched500,error_signature_repeat_k,k=2,burden,0.046744060890289846,0.030258699644756634,0.06806261285276728,1000,trajectory
Enriched500,error_signature_repeat_k,k=2,latency_mean,4.261744966442953,2.6840407470288623,7.109597353272803,1000,trajectory
Enriched500,error_signature_repeat_k,k=3,F1,0.11553423236514523,0.06288528878931186,0.17520907420209303,1000,trajectory
Enriched500,error_signature_repeat_k,k=3,UC_recall,0.05888030888030888,0.04385053500307876,0.07723911402556966,1000,trajectory
Enriched500,error_signature_repeat_k,k=3,PIIR,0.018911174785100286,0.012716579343691876,0.02574517420250492,1000,trajectory
Enriched500,error_signature_repeat_k,k=3,HN_FPR,0.014742753986561026,0.0017029690602991018,0.03910308367927146,1000,trajectory
Enriched500,error_signature_repeat_k,k=3,burden,0.03444299223495041,0.017988020542276488,0.054126023405916907,1000,trajectory
Enriched500,error_signature_repeat_k,k=3,latency_mean,7.426229508196721,3.8945382323733866,13.4345167163191,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=3,F1,0.728715126209907,0.6992039431697997,0.7561193747242059,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=3,UC_recall,0.8426640926640927,0.801958688584923,0.8800777866223398,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=3,PIIR,0.5621776504297994,0.5347642216008307,0.5890956315189557,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=3,HN_FPR,0.348711262661719,0.3158255849112494,0.3812088975644355,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=3,burden,0.45425540093795647,0.4256099979745013,0.4837229987617638,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=3,latency_mean,0.9152348224513173,0.7496759112015775,1.1057379814983317,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=5,F1,0.6386081044816173,0.5944747635967849,0.6797487775665292,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=5,UC_recall,0.5916988416988417,0.5328041765839283,0.6455493087432912,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=5,PIIR,0.2532951289398281,0.2279367810650115,0.28000171821305847,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=5,HN_FPR,0.16858890783271488,0.13628575483762262,0.2041376273165771,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=5,burden,0.30099177366033675,0.2649459260176121,0.3364932915314744,1000,trajectory
Enriched500,file_revisit_guard,window=5;repeats=5,latency_mean,2.205546492659054,1.7911414192030328,2.6740191205706934,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=3,F1,0.7406460099386144,0.7110741574821497,0.7643225055172834,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=3,UC_recall,0.888996138996139,0.8472676717522795,0.9238012102052533,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=3,PIIR,0.6234957020057307,0.5958776386152547,0.6510874251202985,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=3,HN_FPR,0.40056162872329754,0.3671570309989509,0.43485410187131013,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=3,burden,0.49358037979549474,0.4642330500419234,0.5211298840874473,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=3,latency_mean,0.740499457111835,0.5985186615516396,0.9095222816399287,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=5,F1,0.7214875370682055,0.6891959896317937,0.7525245590463278,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=5,UC_recall,0.7712355212355212,0.7191796439905007,0.8197971469891558,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=5,PIIR,0.41489971346704874,0.38633172484743294,0.4408748089435308,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=5,HN_FPR,0.2710861498345201,0.23424001849648454,0.30744014447370155,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=5,burden,0.4007841931267779,0.3643104333641358,0.4322476714399113,1000,trajectory
Enriched500,file_revisit_guard,window=10;repeats=5,latency_mean,1.1138923654568211,0.921577387234312,1.3664167280893302,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,F1,0.1974834190789066,0.13543798439621718,0.2592801688851007,1000,trajectory
Enriched500,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,UC_recall,0.10424710424710425,0.07526783071914768,0.14132216698678113,1000,trajectory
