dataset,within_0_01,within_0_02,detector_a,config_a,F1_a,PIIR_a,HN_FPR_a,detector_b,config_b,F1_b,PIIR_b,HN_FPR_b,abs_F1_diff,abs_PIIR_diff,abs_HN_FPR_diff
StressFresh100,False,True,file_revisit_guard,window=5;repeats=3,0.6436781609195402,0.8449612403100775,0.7670940170940171,file_revisit_guard,window=10;repeats=5,0.657315906917437,0.689922480620155,0.5918803418803419,0.0136377459978968,0.15503875968992242,0.17521367521367526
StressFresh100,False,True,max_step_guard,threshold=50,0.40068104426787743,0.01937984496124031,0.0,tool_repeat_k,k=4,0.41764080765143463,0.15891472868217055,0.06196581196581197,0.016959763383557203,0.13953488372093023,0.06196581196581197
StressFresh100,False,True,exact_action_repeat_k,k=3,0.3071512309495897,0.07364341085271318,0.0641025641025641,action_observation_similarity,tfidf_adjacent>=0.95,0.32657657657657657,0.19767441860465115,0.07905982905982906,0.01942534562698689,0.12403100775193797,0.01495726495726496
StressFresh100,False,True,action_observation_similarity,tfidf_adjacent>=0.95,0.32657657657657657,0.19767441860465115,0.07905982905982906,action_observation_similarity,tfidf_adjacent>=0.98,0.3159117305458769,0.12015503875968993,0.042735042735042736,0.01066484603069967,0.07751937984496123,0.03632478632478632
StressFresh100,True,True,exact_action_repeat_k,k=3,0.3071512309495897,0.07364341085271318,0.0641025641025641,error_signature_repeat_k,k=2,0.31420289855072464,0.1434108527131783,0.049145299145299144,0.007051667601134959,0.06976744186046512,0.014957264957264953
StressFresh100,False,True,action_observation_similarity,tfidf_adjacent>=0.95,0.32657657657657657,0.19767441860465115,0.07905982905982906,error_signature_repeat_k,k=2,0.31420289855072464,0.1434108527131783,0.049145299145299144,0.01237367802585193,0.054263565891472854,0.029914529914529912
StressFresh100,True,True,exact_action_repeat_k,k=3,0.3071512309495897,0.07364341085271318,0.0641025641025641,action_observation_similarity,tfidf_adjacent>=0.98,0.3159117305458769,0.12015503875968993,0.042735042735042736,0.008760499596287219,0.046511627906976744,0.02136752136752136
StressFresh100,True,True,exact_action_repeat_k,k=4,0.2865743527995184,0.03875968992248062,0.038461538461538464,action_observation_repeat_exact,exact_pair_k=2,0.2765826674861709,0.0,0.0,0.009991685313347487,0.03875968992248062,0.038461538461538464
StressFresh100,False,True,exact_action_repeat_k,k=4,0.2865743527995184,0.03875968992248062,0.038461538461538464,repeat_without_progress_guard,base=tool;k=3;progress=runtime,0.2732307692307692,0.003875968992248062,0.0,0.013343583568749151,0.03488372093023256,0.038461538461538464
StressFresh100,False,True,exact_action_repeat_k,k=4,0.2865743527995184,0.03875968992248062,0.038461538461538464,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,0.2732307692307692,0.003875968992248062,0.0,0.013343583568749151,0.03488372093023256,0.038461538461538464
StressFresh100,True,True,file_revisit_guard,window=5;repeats=3,0.6436781609195402,0.8449612403100775,0.7670940170940171,file_revisit_guard,window=10;repeats=3,0.652127659574468,0.8682170542635659,0.7970085470085471,0.008449498654927834,0.023255813953488413,0.02991452991452992
StressFresh100,False,True,action_observation_repeat_exact,exact_pair_k=2,0.2765826674861709,0.0,0.0,error_signature_repeat_k,k=3,0.26370918052988296,0.023255813953488372,0.01282051282051282,0.012873486956287927,0.023255813953488372,0.01282051282051282
StressFresh100,True,True,action_observation_similarity,tfidf_adjacent>=0.98,0.3159117305458769,0.12015503875968993,0.042735042735042736,error_signature_repeat_k,k=2,0.31420289855072464,0.1434108527131783,0.049145299145299144,0.0017088319951522601,0.023255813953488372,0.006410256410256408
StressFresh100,True,True,error_signature_repeat_k,k=3,0.26370918052988296,0.023255813953488372,0.01282051282051282,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,0.2562189054726368,0.003875968992248062,0.0,0.007490275057246143,0.01937984496124031,0.01282051282051282
StressFresh100,True,True,error_signature_repeat_k,k=3,0.26370918052988296,0.023255813953488372,0.01282051282051282,repeat_without_progress_guard,base=tool;k=3;progress=runtime,0.2732307692307692,0.003875968992248062,0.0,0.009521588700886263,0.01937984496124031,0.01282051282051282
StressFresh100,True,True,error_signature_repeat_k,k=3,0.26370918052988296,0.023255813953488372,0.01282051282051282,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,0.2562189054726368,0.003875968992248062,0.0,0.007490275057246143,0.01937984496124031,0.01282051282051282
StressFresh100,True,True,error_signature_repeat_k,k=3,0.26370918052988296,0.023255813953488372,0.01282051282051282,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,0.2732307692307692,0.003875968992248062,0.0,0.009521588700886263,0.01937984496124031,0.01282051282051282
StressFresh100,True,True,action_observation_repeat_exact,exact_pair_k=2,0.2765826674861709,0.0,0.0,repeat_without_progress_guard,base=tool;k=3;progress=runtime,0.2732307692307692,0.003875968992248062,0.0,0.003351898255401664,0.003875968992248062,0.0
StressFresh100,True,True,action_observation_repeat_exact,exact_pair_k=2,0.2765826674861709,0.0,0.0,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,0.2732307692307692,0.003875968992248062,0.0,0.003351898255401664,0.003875968992248062,0.0
StressFresh100,True,True,max_step_guard,threshold=150,0.0,0.0,0.0,max_step_guard,threshold=200,0.0,0.0,0.0,0.0,0.0,0.0
StressFresh100,False,True,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,0.2562189054726368,0.003875968992248062,0.0,repeat_without_progress_guard,base=tool;k=3;progress=runtime,0.2732307692307692,0.003875968992248062,0.0,0.017011863758132406,0.0,0.0
StressFresh100,True,True,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,0.2562189054726368,0.003875968992248062,0.0,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,0.2562189054726368,0.003875968992248062,0.0,0.0,0.0,0.0
StressFresh100,False,True,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime,0.2562189054726368,0.003875968992248062,0.0,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy,0.2732307692307692,0.003875968992248062,0.0,0.017011863758132406,0.0,0.0
StressFresh100,False,True,repeat_without_progress_guard,base=tool;k=3;progress=runtime,0.2732307692307692,0.003875968992248062,0.0,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy,0.2562189054726368,0.003875968992248062,0.0,0.017011863758132406,0.0,0.0
