dataset,location_category,trigger_count,trigger_pct,detector,threshold/config
StressFresh100,PI_span_non_HN,23,0.04220183486238532,tool_sequence_repeat,window=3
StressFresh100,other,12,0.022018348623853212,tool_sequence_repeat,window=3
StressFresh100,UC_span,453,0.8435754189944135,tool_sequence_repeat,window=4
StressFresh100,HN_step,43,0.08007448789571694,tool_sequence_repeat,window=4
StressFresh100,PI_span_non_HN,25,0.04655493482309125,tool_sequence_repeat,window=4
StressFresh100,other,16,0.0297951582867784,tool_sequence_repeat,window=4
StressFresh100,UC_span,225,0.9911894273127754,action_observation_repeat_exact,exact_pair_k=2
StressFresh100,HN_step,0,0.0,action_observation_repeat_exact,exact_pair_k=2
StressFresh100,PI_span_non_HN,0,0.0,action_observation_repeat_exact,exact_pair_k=2
StressFresh100,other,2,0.00881057268722467,action_observation_repeat_exact,exact_pair_k=2
StressFresh100,UC_span,336,0.7148936170212766,action_observation_similarity,tfidf_adjacent>=0.9
StressFresh100,HN_step,47,0.1,action_observation_similarity,tfidf_adjacent>=0.9
StressFresh100,PI_span_non_HN,60,0.1276595744680851,action_observation_similarity,tfidf_adjacent>=0.9
StressFresh100,other,27,0.0574468085106383,action_observation_similarity,tfidf_adjacent>=0.9
StressFresh100,UC_span,290,0.7712765957446809,action_observation_similarity,tfidf_adjacent>=0.95
StressFresh100,HN_step,37,0.09840425531914894,action_observation_similarity,tfidf_adjacent>=0.95
StressFresh100,PI_span_non_HN,35,0.09308510638297872,action_observation_similarity,tfidf_adjacent>=0.95
StressFresh100,other,14,0.03723404255319149,action_observation_similarity,tfidf_adjacent>=0.95
StressFresh100,UC_span,272,0.84472049689441,action_observation_similarity,tfidf_adjacent>=0.98
StressFresh100,HN_step,20,0.062111801242236024,action_observation_similarity,tfidf_adjacent>=0.98
StressFresh100,PI_span_non_HN,23,0.07142857142857142,action_observation_similarity,tfidf_adjacent>=0.98
StressFresh100,other,7,0.021739130434782608,action_observation_similarity,tfidf_adjacent>=0.98
StressFresh100,UC_span,271,0.8338461538461538,error_signature_repeat_k,k=2
StressFresh100,HN_step,23,0.07076923076923076,error_signature_repeat_k,k=2
StressFresh100,PI_span_non_HN,24,0.07384615384615385,error_signature_repeat_k,k=2
StressFresh100,other,7,0.021538461538461538,error_signature_repeat_k,k=2
StressFresh100,UC_span,214,0.9596412556053812,error_signature_repeat_k,k=3
StressFresh100,HN_step,6,0.026905829596412557,error_signature_repeat_k,k=3
StressFresh100,PI_span_non_HN,3,0.013452914798206279,error_signature_repeat_k,k=3
StressFresh100,other,0,0.0,error_signature_repeat_k,k=3
StressFresh100,UC_span,1176,0.5217391304347826,file_revisit_guard,window=5;repeats=3
StressFresh100,HN_step,359,0.1592724046140195,file_revisit_guard,window=5;repeats=3
StressFresh100,PI_span_non_HN,463,0.2054125998225377,file_revisit_guard,window=5;repeats=3
StressFresh100,other,256,0.11357586512866016,file_revisit_guard,window=5;repeats=3
StressFresh100,UC_span,922,0.6093853271645737,file_revisit_guard,window=5;repeats=5
StressFresh100,HN_step,243,0.16060806345009915,file_revisit_guard,window=5;repeats=5
StressFresh100,PI_span_non_HN,230,0.1520158625247852,file_revisit_guard,window=5;repeats=5
StressFresh100,other,118,0.07799074686054197,file_revisit_guard,window=5;repeats=5
StressFresh100,UC_span,1226,0.5194915254237288,file_revisit_guard,window=10;repeats=3
StressFresh100,HN_step,373,0.15805084745762712,file_revisit_guard,window=10;repeats=3
StressFresh100,PI_span_non_HN,490,0.2076271186440678,file_revisit_guard,window=10;repeats=3
StressFresh100,other,271,0.11483050847457626,file_revisit_guard,window=10;repeats=3
StressFresh100,UC_span,1031,0.5935521013241221,file_revisit_guard,window=10;repeats=5
StressFresh100,HN_step,277,0.15947035118019573,file_revisit_guard,window=10;repeats=5
StressFresh100,PI_span_non_HN,287,0.1652274035693725,file_revisit_guard,window=10;repeats=5
StressFresh100,other,142,0.08175014392630973,file_revisit_guard,window=10;repeats=5
StressFresh100,UC_span,206,0.9903846153846154,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime
StressFresh100,HN_step,0,0.0,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime
StressFresh100,PI_span_non_HN,1,0.004807692307692308,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime
StressFresh100,other,1,0.004807692307692308,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime
StressFresh100,UC_span,222,0.9866666666666667,repeat_without_progress_guard,base=tool;k=3;progress=runtime
StressFresh100,HN_step,0,0.0,repeat_without_progress_guard,base=tool;k=3;progress=runtime
StressFresh100,PI_span_non_HN,1,0.0044444444444444444,repeat_without_progress_guard,base=tool;k=3;progress=runtime
StressFresh100,other,2,0.008888888888888889,repeat_without_progress_guard,base=tool;k=3;progress=runtime
StressFresh100,UC_span,206,0.9903846153846154,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy
StressFresh100,HN_step,0,0.0,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy
StressFresh100,PI_span_non_HN,1,0.004807692307692308,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy
StressFresh100,other,1,0.004807692307692308,repeat_without_progress_guard,base=exact_action;k=3;progress=runtime_or_signal_proxy
StressFresh100,UC_span,222,0.9866666666666667,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy
StressFresh100,HN_step,0,0.0,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy
StressFresh100,PI_span_non_HN,1,0.0044444444444444444,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy
StressFresh100,other,2,0.008888888888888889,repeat_without_progress_guard,base=tool;k=3;progress=runtime_or_signal_proxy
OpenHandsExternal330,UC_span,62,0.0014388489208633094,max_step_guard,threshold=25
OpenHandsExternal330,HN_step,1639,0.038036667440241353,max_step_guard,threshold=25
OpenHandsExternal330,PI_span_non_HN,30240,0.7017869575307496,max_step_guard,threshold=25
OpenHandsExternal330,other,11149,0.25873752610814577,max_step_guard,threshold=25
OpenHandsExternal330,UC_span,62,0.0017795637198622274,max_step_guard,threshold=50
OpenHandsExternal330,HN_step,1639,0.04704362801377727,max_step_guard,threshold=50
OpenHandsExternal330,PI_span_non_HN,28445,0.8164466130884042,max_step_guard,threshold=50
OpenHandsExternal330,other,4694,0.13473019517795637,max_step_guard,threshold=50
OpenHandsExternal330,UC_span,62,0.0023310899725532954,max_step_guard,threshold=75
OpenHandsExternal330,HN_step,1629,0.061247509117569654,max_step_guard,threshold=75
OpenHandsExternal330,PI_span_non_HN,22889,0.8605857803511674,max_step_guard,threshold=75
OpenHandsExternal330,other,2017,0.07583562055870963,max_step_guard,threshold=75
OpenHandsExternal330,UC_span,32,0.0017094017094017094,max_step_guard,threshold=100
OpenHandsExternal330,HN_step,1537,0.08210470085470085,max_step_guard,threshold=100
